URL,inventory_url_id,verdict,coverage_state,robots_state,indexing_state,last_crawl_time,page_fetch_state,google_canonical,user_canonical,canonical_agreement,sitemap_membership_reported_by_google,referring_urls,crawler,inspection_timestamp,api_result_link,confidence,error
https://echobuddha.com/articles/equanimity-in-buddhism/,url_37337de91a648972,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-16T17:37:18Z,SUCCESSFUL,https://echobuddha.com/articles/equanimity-in-buddhism/,https://echobuddha.com/articles/equanimity-in-buddhism/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,https://echobuddha.com/sitemap.xml,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/first-week-buddhist-practice/,url_8f013d60b6e1e53d,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-06T16:56:13Z,SUCCESSFUL,https://echobuddha.com/articles/first-week-buddhist-practice/,https://echobuddha.com/articles/first-week-buddhist-practice/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,https://echobuddha.com/quotes/practice/daily-practice-turns-understanding-from-an-idea-into-a/,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/five-precepts-in-daily-life/,url_3d2f47e1c8577739,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-07-14T06:18:18Z,SUCCESSFUL,https://echobuddha.com/articles/five-precepts-in-daily-life/,https://echobuddha.com/articles/five-precepts-in-daily-life/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,https://echobuddha.com/sitemap.xml,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/four-noble-truths-explained/,url_5ce64f4c5a6ddcac,NEUTRAL,Crawled - currently not indexed,ALLOWED,INDEXING_ALLOWED,2026-08-21T21:12:16Z,SUCCESSFUL,https://echobuddha.com/articles/four-noble-truths-explained/,https://echobuddha.com/articles/four-noble-truths-explained/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/four-noble-truths-explained-simply/,url_329ead4131fb8bc9,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-05T07:03:31Z,SUCCESSFUL,https://echobuddha.com/articles/four-noble-truths-explained-simply/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,url_99e4e9a88901487c,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-18T14:51:45Z,SUCCESSFUL,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,url_0cf3704485a08829,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-07-03T04:39:36Z,SUCCESSFUL,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/how-to-meditate-for-beginners/,url_567f2d1cea68af60,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-07T04:45:31Z,SUCCESSFUL,https://echobuddha.com/articles/how-to-meditate-for-beginners/,https://echobuddha.com/articles/how-to-meditate-for-beginners/,GOOGLE_USER_CANONICAL_AGREE,https://echobuddha.com/sitemap.xml,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/how-to-practice-non-attachment/,url_6cb2709de4bd632b,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-07-29T03:32:32Z,SUCCESSFUL,https://echobuddha.com/articles/how-to-practice-non-attachment/,https://echobuddha.com/articles/how-to-practice-non-attachment/,GOOGLE_USER_CANONICAL_AGREE,,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
https://echobuddha.com/articles/impermanence-in-buddhism/,url_0fcdbb5b65d8328b,PASS,Submitted and indexed,ALLOWED,INDEXING_ALLOWED,2026-08-17T20:06:44Z,SUCCESSFUL,https://echobuddha.com/articles/impermanence-in-buddhism/,https://echobuddha.com/articles/impermanence-in-buddhism/,GOOGLE_USER_CANONICAL_AGREE,,,MOBILE,2026-08-24T06:06:01.824Z,,CURRENT_FIRST_PARTY_INDEXED_VERSION_API,
